#No   host     SN        m0_Bi    sigma 
1      M101      2011fe  9.998868 0.155265
2     M1337       2006D 13.742384 0.195332
3       M66       1989B 11.084640 0.164061
4       M96      1998bu 11.294578 0.155371
5     N0105       2007A 15.220292 0.156206
6     N0691       2005W 13.655650 0.156169
7     N0976      1999dq 14.370252 0.155849
8     N1015      2009ig 13.358052 0.156153
9     N1309      2002fk 13.398561 0.155533
10    N1316       1980N 12.161072 0.157675
11    N1316       1981D 11.882176 0.180368
12    N1316      2006dd 12.366628 0.163984
13    N1365      2012fr 11.979419 0.155494
14    N1380       1992A 12.306056 0.155849
15    N1404      2007on 12.414382 0.157572
16    N1404      2011iv 12.108492 0.157079
17    N1448      2001el 12.347864 0.157448
18    N1448     2021pit 12.061271 0.176951
19    N1559      2005df 12.384748 0.157036
20    N2442       2015F 12.493522 0.155923
21    N2525      2018gv 12.935334 0.155730
22    N2608      2001bg 13.545242 0.156113
23    N3021      1995al 13.254687 0.164605
24    N3147      1997bq 13.885522 0.171937
25    N3147     2021hpr 13.922211 0.160341
26    N3147      2008fv 13.969367 0.160053
27    N3254      2019np 13.255802 0.156184
28    N3370      1994ae 13.004762 0.155821
29    N3447      2012ht 12.961035 0.156435
30    N3583    ASAS15so 13.685602 0.193995
31    N3972      2011by 12.800408 0.157565
32    N3982      1998aq 12.495156 0.156778
33    N4038      2007sr 12.352466 0.203692
34    N4414       2021J 11.791331 0.177009
35    N4424      2012cg 11.538540 0.156022
36    N4457     2020nvb 12.017898 0.164733
37    N4526       1994D 11.796770 0.157085
38    N4536       1981B 11.718414 0.158182
39    N4639       1990N 12.653770 0.158174
40    N4666    ASAS14lp 11.486369 0.155694
41    N4680      1997bp 13.371052 0.163386
42    N5468      1999cp 13.988422 0.156704
43    N5468      2002cr 14.099011 0.156229
44    N5584      2007af 12.909370 0.155237
45    N5643      2013aa 11.369785 0.155481
46    N5643     2017cbv 11.408004 0.155797
47    N5728       2009Y 13.526123 0.157532
48    N5861     2017erp 13.118560 0.155874
49    N5917      2005cf 13.156583 0.161295
50    N7250      2013dy 12.574303 0.155515
51    N7329      2006bh 14.246477 0.155765
52    N7541      1998dh 13.566600 0.156015
53    N7678      2002dp 14.224882 0.155887
54    N7814     2021rhu 12.015750 0.155765
55    U9391      2003du 13.681596 0.155757
